file_name,token_count,unknown_count,readability,unknown_words,text
output/texts/text_001.txt,0,0,100,[],
output/texts/text_002.txt,8,3,62,"['liltà', 'valbruna', 'riciputi']","I liltà Sommerso

(CONCA o VALBRUNA)

AROLDO RICIPUTI
"
output/texts/text_003.txt,0,0,100,[],
output/texts/text_004.txt,125,0,100,[],"Premessa

In un'epoca in cui le recenti scoperte e mo-
derne affermazioni scientifiche nel campo del-
l'astrofisica ed astronautica continuano a stu-
pire l’uomo con le ultime sbalorditive conquiste
spaziali che hanno permesso ai satelliti artifi-
ciali costruiti dall'uomo di circumnavigare la
Luna, creando un'atmosfera di fascino e di fan-
tasia attorno a queste realizzazioni del progresso
moderno, teso a svelare la composizione e la
origine stessa dell'entità cosmica, lo studio
delle cose antiche, delle civiltà che furono,
continua ad esercitare sull'uomo un fascino
altrettanto sentito ed avvincente.

Nonostante in molti casi le conquiste della
scienza abbiano largamente superato la fanta-
sia avveniristica di uomini ritenuti fino a ieri
visionari e che fra breve sarà difficile distin-
guere fra le imprese dei romanzi di fantascienza
"
output/texts/text_005.txt,171,1,99,['valbruna'],"e la realtà, dato che i viaggi dei moderni mezzi
interplanetari se hanno del temerario non han-
no più dell’assurdo, è altrettanto vero che le
scoperte archeologiche con i loro lunghi viaggi
a ritroso attraverso i secoli continuano a con-
servare immutato un interesse che li rende
seducenti come i primi; infatti come quel-
li celano una misteriosa incognita che, l’uo-
mo nella sua sete insaziabile di sapere, trova
simile ad una fonte inesauribile, atta a tenere
desta la sua inestinguibile curiosità.

Ove, poi, la storia e l’antichità si ammanta-
no di fantasia e leggende popolari, l’attrattiva
aumenta a dismisura come gli spazi cosmici ed
il mistero diventa più fitto ed interessante.

Questo è il caso di Conca o Valbruna, la
Città Sommersa, su cui il mare molti secoli

fa ha steso le sue acque come una tragica
Atlantide. i

Sin dai tempi più antichi, gli studiosi si sono
interessati alla storia della Città Sommersa e

si riferiscono spesso a questa nei loro scritti e
nelle cronache di secoli passati, nonostante le

"
output/texts/text_006.txt,166,3,98,"['tutt', 'pervenuteci', 'mà']","fonti alle quali poter attingere fossero già da
allora scarse; comunque, anche queste notizie

incomplete presentarono certamente un quadro
di attendibilità storica altrimenti non si spie-
gherebbe l’interesse che esercitarono sugli stu-
diosi che effettuarono le ricerche di cui ci è
giunta notizia. L’insuccesso dei predetti uomini
di studio nel reperire le notizie ed i fatti atti a
colmare le lacune tutt’oggi esistenti non infir-
mano certamente l’attendibilità storica dell’og-
getto delle loro indagini.

Le notizie pervenuteci, infatti, non sono gre-
mite di fatti ed a volte sono prive di fili con-
duttori geografici e cronologici, mà a questi si
sostituiscono idee e ragioni che oltre escludere
un irrigidimento di giudizio offrono uno stru-
mento di stimolo atto a rendere più interes-
sante ed efficace una più approfondita esplora-
zione dell'argomento. Del resto, l'archeologia è
spesso come un « puzzle », cioè lo studio di in-
dizi ed elementi minuti che servono a decifrare
gli enigmi lasciati dalla storia e nascosti sotto
secoli di polvere che spesso la leggenda con il
"
output/texts/text_007.txt,159,3,98,"['neb', 'bia', 'tramandandosi']","suo fiato popolare solleva per formare una neb-

bia che tramandandosi di generazione in gene-

razione rende più difficile la ricerca e la ricom-
posizione del mosaico.

Ancor oggi non è stato possibile chiarire date
e fatti che riguardano popoli, città e civiltà che
pur sappiamo essere esistite, ma di cui ignoria-
mo molti particolari e dettagli fondamentali per
stabilire il rispettivo grado di realtà storica.

Questo è il caso, per esempio, del popolo
etrusco, del quale ignoriamo ancora la scrit-
tura, pur non sussistendo più alcun dubbio
sulla sua esistenza e realtà storica, mentre il
caso fortuito del ritrovamento della pietra” di
Rosetta in Egitto, da parte delle truppe napo-
leoniche, ha permesso di decifrare nell’anno
1799, dopo secoli di infruttuose ricerche e studi,
i segreti di una scrittura rimasta fino allora
sconosciuta.

Forse un giorno lo stesso miracolo potrà
improvvisamente verificarsi per la Città Som-
mersa ed allora ogni dubbio residuo che cir-
conda le sue origini e la sua ubicazione potrà

"
output/texts/text_008.txt,158,8,94,"['verificatosi', 'ef', 'fetti', 'avallamenti', '—', '—', 'grand', 'avallamenti']","essere agevolmente rimosso.

Come sempre verificatosi in casi analoghi,
le campagne archeologiche condotte per rin-
tracciare il materiale atto ad avvalorare le tesi
ed ipotesi più disparate che circondano i mi-
steri delle città sommerse, raramente hanno
permesso di reperire materiale in istato di suffi-
ciente conservazione per stabilire con esattezza
gli elementi e fattori storici che le riguardano,
e ciò invariabilmente come conseguenza delle

condizioni ambientali negative in cui veniva a

trovarsi il materiale stesso, sottoposto agli ef-

fetti erosivi e distruttivi delle acque salmastre.

L'acqua è stata una delle maggiori forze di-
struttive della natura sin dalle origini della
creazione della terra; fu essa, infatti, a dare
l’attuale fisionomia, tuttora mutevole per causa
sua, alla crosta terrestre. Con la sua forza è
riuscita a scavare avallamenti giganteschi, co-
me — ad esempio — quelli del Grand Canyon
nel Nord-America, ove in certi punti detti aval-
lamenti raggiungono una larghezza di venti chi-
lometri ed una profondità di dodici; dalle ca-

"
output/texts/text_009.txt,170,3,98,"['scate', 'cambiandone', 'sfigurandone']","scate del Niagara fa udire la sua possente voce,
mentre la sua linfa scorre negli immensi letti
di fiumi, che forgiarono la storia di continenti
interi, come il Nilo, il Mississippi, il Rio delle
Amazzoni ed i cieli ed i mari hanno deciso e
continuano a decidere della sopravvivenza di
razze intere e del loro diritto di alimentarsi.
Come una mano ciclopica, dalle dita affilate co-
me gigantesche lame, la sua forza ha modellato
monti, scavato valli, invaso continenti, sommer-
so terre; sotto forma di pioggia, di mari, di cor-
renti, di oceani, sorgenti, ghiacciai, fiumi, ca-
scate, ruscelli o tempestosi torrenti essa è inter-
venuta nei secoli per incidere la crosta terre-
stre, mutandone il volto. cambiandone l’aspet-
to, scavando nuove rughe, sfigurandone il pro-
filo.

Se è disposta a dispensare con magnanimità
i suoi benefici, non tollera che l’uomo s'opponga
ad essa quando ha deciso di modificare l’archi-
tettura di cui ella stessa fu precedentemente

progettista ed artefice; la sua ira non conosce

ostacoli e la natura stessa che le dette i natali

"
output/texts/text_010.txt,176,3,98,"['perchè', 'perchè', 'superarli']","è vittima e schiava dei suoi impeti di ribellione.

L'uomo, dunque, solo perchè spinto dalla sua
presunzione ed immodestia ha l’ardire di cimen-
tarsi con essa. L’ira dell’acqua può distruggere
in un attimo tutto ciò che l'uomo ha creato at-
traverso secoli di paziente lavoro. Ciò non to-
glie, comunque, che il destino dell’uomo
debba arrestarsi di fronte alle condizioni av-
verse della terra che lo ospita, perchè ciò signi-
ficherebbe l'abbandono della vita in un gretto
fatalismo che l’intelletto respinge come contra-
rio alla missione alla quale il genere umano fu
votato.

L'uomo deve insistere nella sua opera di di-
fesa dalle avversità della natura per lo stesso
motivo che insiste nel suo sforzo per la conser-
vazione della vita di fronte all’ineluttabilità del-
la morte; del resto, anche nella sua presunzio-
ne, solo l’uomo è grande abbastanza per affron-
tare la immensità della natura e se la sua mano
non riuscirà ad ancorare al suo volere gli cle-
menti della natura è certo che il suo spirito sa-
prà superarli nell’ascesa verso il Supremo Crea-
"
